agree,يُوَافِقُ
alcohol,كُحُول
arrive,يَصِلُ
August,أَغُسْطُس
boat,قَارِب
breakfast,فُطُور
camera,كَامِيرَا
capital,عَاصِمَة
catch,يَمْسِكُ
duck,بَطَّة
enjoy,يَسْتَمْتِعُ
invite,يَدْعُو
love,يُحِبُّ
month,شَهْر
travel,يُسَافِرُ
typical,نَمُوذَجِيّ
visit,يَزُورُ
weather,طَقْس
week,أُسْبُوع
wine,نَبِيذ
adventure,مُغَامَرَة
approach,يَقْتَرِبُ
carefully,بِحَذَر
chemical,مَادَّة كِيمِيَائِيَّة
create,يُنْشِئُ
evil,شِرِّير
experiment,تَجْرِبَة
kill,يَقْتُلُ
laboratory,مُخْتَبَر
laugh,ضَحِك
loud,عَالٍ
nervous,مُتَوَتِّر
noise,ضَوْضَاء
project,مَشْرُوع
scare,يُخِيفُ
secret,سِرّ
shout,يَصْرُخُ
smell,يَشُمُّ
terrible,فَظِيع
worse,أَسْوَأ
alien,كَائِن فَضَائِيّ
among,بَيْنَ
chart,رَسْم بَيَانِيّ
cloud,سَحَابَة
describe,يَصِفُ
ever,أَبَدًا
fail,يَفْشَلُ
grade,دَرَجَة
instead,بَدَلًا مِنْ
library,مَكْتَبَة
photograph,صُورَة فُوتُوغْرَافِيَّة
planet,كَوْكَب
report,تَقْرِير
several,عِدَّة
shape,شَكْل
solve,يَحُلُّ
suddenly,فَجْأَةً
suppose,يَفْتَرِضُ
understand,يَفْهَمُ
view,مَنْظَر
appropriate,مُنَاسِب
avoid,يَتَجَنَّبُ
behave,يَتَصَرَّفُ
calm,هَادِئ
concern,قَلَق
content,رَاضٍ
expect,يَتَوَقَّعُ
frequently,بِشَكْل مُتَكَرِّر
habit,عَادَة
instruct,يُرْشِدُ
issue,قَضِيَّة
none,لَا شَيْء
patient,صَبُور
positive,إِيجَابِيّ
punish,يُعَاقِبُ
represent,يُمَثِّلُ
shake,يَهُزُّ
spread,يَنْشُرُ
stroll,يَتَنَزَّهُ
village,قَرْي��ة
active,نَشِيط
adult,بَالِغ
age,عُمْر
bad,سَيِّئ
balance,تَوَازُن
bike,دَرَّاجَة
choose,يَخْتَارُ
doctor,طَبِيب
during,خِلَالَ
football,كُرَةُ الْقَدَم
fun,مُمْتِع
game,لُعْبَة
heart,قَلْب
golf,جُولْف
increase,يَزِيدُ
life,حَيَاة
kilometer,كِيلُومِتْر
often,غَالِبًا
plenty,وَفْرَة
weight,وَزْن
apart,مُنْفَصِل
attribute,سِمَة
bilingual,ثُنَائِيُّ اللُّغَة
completely,تَمَامًا
dash,يَنْدَفِعُ
disgust,اشْمِئْزَاز
fashionable,أَنِيق
foreign,أَجْنَبِيّ
gulf,هَوَّة
mirror,مِرْآة
natural,طَبِيعِيّ
nowadays,فِي هَذِهِ الْأَيَّام
participant,مُشَارِك
ritual,طُقُوس
spoken,مَنْطُوق
sport,رِيَاضَة
surprised,مُتَفَاجِئ
tense,مُتَوَتِّر
totally,كُلِّيًّا
vague,غَامِض
allow,يَسْمَحُ
announce,يُعْلِنُ
beside,بِجَانِب
challenge,تَحَدٍّ
claim,يَدَّعِي
condition,حَالَة
contribute,يُسَاهِمُ
difference,اخْتِلَاف
divide,يُقَسِّمُ
expert,خَبِير
famous,مَشْهُور
force,قُوَّة
harm,أَذًى
lay,يَضَعُ
peace,سَلَام
prince,أَمِير
protect,يَحْمِي
sense,يَشْعُرُ
sudden,مُفَاجِئ
therefore,لِذَلِكَ
accept,يَقْبَلُ
arrange,يُرَتِّبُ
attend,يَحْضُرُ
chase,يُطَارِدُ
contrast,تَبَايُن
encourage,يُشَجِّعُ
familiar,مَأْلُوف
grab,يَمْسِكُ
hang,يُعَلِّقُ
huge,ضَخْم
necessary,ضَرُورِيّ
pattern,نَمَط
propose,يَقْتَرِحُ
purpose,غَرَض
release,يُطْلِقُ
require,يَتَطَلَّبُ
satisfied,رَاضٍ
single,وَاحِد
tear,يُمَزِّقُ
theory,نَظَرِيَّة
animal,حَيَوَان
bus,حَافِلَة
cat,قِطَّة
command,أَمْر
depend,يَعْتَمِدُ
dog,كَلْب
door,بَاب
friend,صَدِيق
hear,يَسْمَعُ
help,يُسَاعِدُ
horse,حِصَان
hospital,مُسْتَشْفَى
leg,سَاق
medical,طِبِّيّ
open,يَفْتَحُ
pull,يَسْحَبُ
rabbit,أَرْنَب
school,مَدْرَسَة
see,يَرَى
service,خِدْمَة
benefit,فَائِدَة
certain,مُتَأَكِّد
chance,فُرْصَة
effect,تَأْثِير
essential,أَسَاسِيّ
far,بَعِيد
focus,يُرَكِّزُ
function,وَظِيفَة
grass,عُشْب
guard,يَحْرُسُ
image,صُورَة
immediate,فَوْرِيّ
primary,أَسَاسِيّ
proud,فَخُور
remain,يَبْقَى
rest,يَسْتَرِيحُ
separate,مُنْفَصِل
site,مَوْقِع
tail,ذَيْل
trouble,مُشْكِلَة
advertise,يُعْلِنُ
aware,وَاعٍ
battery,بَطَّارِيَّة
black,أَسْوَد
city,مَدِينَة
clean,يُنَظِّفُ
country,بَلَد
develop,يُطَوِّرُ
electric,كَهْرَبَائِيّ
eventually,فِي النِّهَايَة
fact,حَقِيقَة
glass,زُجَاج
history,تَارِيخ
nature,طَبِيعَة
never,أَبَدًا
people,نَاس
plastic,بِلَاسْتِيك
problem,مُشْكِلَة
street,شَارِع
think,يُفَكِّرُ
alone,وَحِيد
apartment,شُقَّة
article,مَقَال
artist,فَنَّان
attitude,مَوْقِف
beauty,جَمَال
compare,يُقَارِنُ
judge,يَحْكُمُ
magazine,مَجَلَّة
material,مَادَّة
meal,وَجْبَة
method,طَرِيقَة
neighbor,جَار
professional,مُحْتَرِف
profit,رِبْح
quality,جَوْدَة
space,مِسَاحَة
stair,دَرَج
symbol,رَمْز
thin,نَحِيف
accounting,مُحَاسَبَة
appeal,يَجْذِبُ
assume,يَفْتَرِضُ
borrow,يَسْتَعِيرُ
client,عَمِيل
downtown,وَسَطَ الْمَدِينَة
dull,مُمِلّ
embarrass,يُحْرِجُ
fare,أُجْرَة
former,سَابِق
found,أَنْشَأَ
invest,يَسْتَثْمِرُ
loan,قَرْض
practical,عَمَلِيّ
quarter,رُبْع
salary,رَاتِب
scholarship,مِنْحَة دِرَاسِيَّة
temporary,مُؤَقَّت
treasure,كَنْز
urge,يَحُثُّ
coach,مُدَرِّب
control,يَتَحَكَّمُ
description,وَصْف
direct,مُبَاشِر
exam,امْتِحَان
example,مِثَال
limit,حَدّ
local,مَحَلِّيّ
magical,سِحْرِيّ
mail,بَرِيد
novel,رِوَايَة
outline,مُخَطَّط
poet,شَاعِر
print,يَطْبَعُ
scene,مَشْهَد
sheet,وَرَقَة
silly,سَخِيف
store,مَتْجَر
suffer,يُعَانِي
technology,تِقْنِيَة
across,عَبْرَ
breathe,يَتَنَفَّسُ
characteristic,صِفَة
consume,يَسْتَهْلِكُ
excite,يُثِيرُ
extremely,لِلْغَايَة
fear,خَوْف
fortunate,مَحْظُوظ
happen,يَحْدُثُ
length,طُول
mistake,خَطَأ
observe,يُلَاحِظُ
opportunity,فُرْصَة
prize,جَائِزَة
race,سِبَاق
realize,يُدْرِكُ
respond,يَسْتَجِيبُ
risk,مُخَاطَرَة
wonder,يَتَسَاءَلُ
yet,بَعْد
art,فَنّ
book,كِتَاب
clothes,مَلَابِس
community,مُجْتَمَع
December,دِيسَمْبَر
dinner,عَشَاء
end,يَنْتَهِي
exchange,يَتَبَادَلُ
family,عَائِلَة
from,مِنْ
green,أَخْضَر
home,مَنْزِل
January,يَنَايِر
red,أَحْمَر
seven,سَبْعَة
start,يَبْدَأُ
together,مَعًا
university,جَامِعَة
wear,يَرْتَدِي
year,سَنَة
appreciate,يُقَدِّرُ
available,مُتَاح
beat,يَهْزِمُ
bright,مُشْرِق
celebrate,يَحْتَفِلُ
decide,يُقَرِّرُ
disappear,يَخْتَفِي
else,آخَر
fair,عَادِل
flow,يَتَدَفَّقُ
forward,إِلَى الْأَمَام
hill,تَلّ
level,مُسْتَوَى
lone,وَحِيد
puddle,بِرْكَة
response,اسْتِجَابَة
season,فَصْل
solution,حَلّ
waste,يُهْدِرُ
whether,سَوَاء
always,دَائِمًا
ask,يَسْأَلُ
banana,مَوْزَة
bread,خُبْز
cake,كَعْكَة
carrot,جَزَرَة
chicken,دَجَاج
chocolate,شُوكُولَاتَة
contain,يَحْتَوِي
delicious,لَذِيذ
diet,نِظَام غِذَائِيّ
eat,يَأْكُلُ
food,طَعَام
fruit,فَاكِهَة
great,عَظِيم
