agree,يُوَافِقُ,hold;jibe;concord
alcohol,كُحُول,alcoholic beverage;alcoholic drink;intoxicant
arrive,يَصِلُ,come;go far;get in
August,أَغُسْطُس,venerable;revered;grand
boat,قَارِب,gravy holder;gravy boat;sauceboat
breakfast,فُطُور,breakfast
camera,كَامِيرَا,photographic camera;television camera;tv camera
capital,عَاصِمَة,uppercase;cap;Capital
catch,يَمْسِكُ,entrance;charm;apprehension
duck,بَطَّة,duck's egg;hedge;fudge
enjoy,يَسْتَمْتِعُ,love;bask;savor
invite,يَدْعُو,call for;ask round;take in
love,يُحِبُّ,enjoy;have it away;screw
month,شَهْر,calendar month
travel,يُسَافِرُ,trip;locomotion;travelling
typical,نَمُوذَجِيّ,distinctive
visit,يَزُورُ,bring down;sojourn;impose
weather,طَقْس,conditions;atmospheric condition;weather condition
week,أُسْبُوع,workweek;calendar week;hebdomad
wine,نَبِيذ,wine-colored;wine-coloured;vino
adventure,مُغَامَرَة,stake;dangerous undertaking;take chances
approach,يَقْتَرِبُ,coming;glide slope;feeler
carefully,بِحَذَر,cautiously
chemical,مَادَّة كِيمِيَائِيَّة,chemic;chemical substance
create,يُنْشِئُ,make;produce
evil,شِرِّير,immorality;vicious;evilness
experiment,تَجْرِبَة,experimentation;try out
kill,يَقْتُلُ,belt down;killing;toss off
laboratory,مُخْتَبَر,testing ground;science lab;research laboratory
laugh,ضَحِك,gag;express joy;jest
loud,عَالٍ,garish;tatty;tacky
nervous,مُتَوَتِّر,unquiet;spooky;aflutter
noise,ضَوْضَاء,resound;make noise;racket
project,مَشْرُوع,jut out;task;send off
scare,يُخِيفُ,affright;pall;frighten
secret,سِرّ,closed book;underground;orphic
shout,يَصْرُخُ,vociferation;blackguard;call
smell,يَشُمُّ,odour;smell out;sense of smell
terrible,فَظِيع,awful;dire;dread
worse,أَسْوَأ,risky;worsened;regretful
alien,كَائِن فَضَائِيّ,alienate;noncitizen;foreigner
among,بَيْنَ,among
chart,رَسْم بَيَانِيّ,graph
cloud,سَحَابَة,obnubilate;befog;becloud
describe,يَصِفُ,distinguish;name;account
ever,أَبَدًا,of all time;e'er;ever so
fail,يَفْشَلُ,bomb;break;break down
grade,دَرَجَة,class;grad;rate
instead,بَدَلًا مِنْ,or else;rather;alternatively
library,مَكْتَبَة,program library;subroutine library;depository library
photograph,صُورَة فُوتُوغْرَافِيَّة,picture;shoot;snap
planet,كَوْكَب,major planet;satellite
report,تَقْرِير,study;composition;paper
several,عِدَّة,respective;various
shape,شَكْل,chassis;material body;regulate
solve,يَحُلُّ,work;figure out;puzzle out
suddenly,فَجْأَةً,all of a sudden;abruptly;on the spur of the moment
suppose,يَفْتَرِضُ,reckon;theorise;hypothesize
understand,يَفْهَمُ,realise;realize;sympathise
view,مَنْظَر,watch;sight;reckon
appropriate,مُنَاسِب,earmark;capture;conquer
avoid,يَتَجَنَّبُ,avert;invalidate;annul
behave,يَتَصَرَّفُ,deport;carry;conduct
calm,هَادِئ,cool off;composure;lull
concern,قَلَق,business;bear on;touch on
content,رَاضٍ,contented;subject;message
expect,يَتَوَقَّعُ,ask;have a bun in the oven;carry
frequently,بِشَكْل مُتَكَرِّر,oftentimes;ofttimes;oft
habit,عَادَة,wont;riding habit;substance abuse
instruct,يُرْشِدُ,apprize;teach;learn
issue,قَضِيَّة,subject;release;come forth
none,لَا شَيْء,none
patient,صَبُور,patient role;affected role
positive,إِيجَابِيّ,prescribed;positive degree;overconfident
punish,يُعَاقِبُ,penalise;penalize
represent,يُمَثِّلُ,map;constitute;symbolise
shake,يَهُزُّ,shingle;tremble;judder
spread,يَنْشُرُ,circulate;broadcast;pass around
stroll,يَتَنَزَّهُ,amble;promenade;saunter
village,قَرْي��ة,small town;Village;hamlet
active,نَشِيط,fighting;combat-ready;participating
adult,بَالِغ,grownup;big;pornographic
age,عُمْر,maturate;eld;long time
bad,سَيِّئ,risky;regretful;unfit
balance,تَوَازُن,remainder;rest;symmetricalness
bike,دَرَّاجَة,wheel;motorcycle;cycle
choose,يَخْتَارُ,opt;pick out;select
doctor,طَبِيب,bushel;mend;Doctor
during,خِلَالَ,during
football,كُرَةُ الْقَدَم,football game
fun,مُمْتِع,merriment;play;sport
game,لُعْبَة,back;bet on;crippled
heart,قَلْب,center;inwardness;ticker
golf,جُولْف,golf game
increase,يَزِيدُ,step-up;gain;growth
life,حَيَاة,lifetime;animation;liveliness
kilometer,كِيلُومِتْر,kilometre;km;klick
often,غَالِبًا,frequently;much;oftentimes
plenty,وَفْرَة,pot;stack;mint
weight,وَزْن,weight down;free weight;slant
apart,مُنْفَصِل,asunder;aside;obscure
attribute,سِمَة,property;assign;impute
bilingual,ثُنَائِيُّ اللُّغَة,bilingualist
completely,تَمَامًا,all;wholly;altogether
dash,يَنْدَفِعُ,shoot;elan;scare
disgust,اشْمِئْزَاز,repel;nauseate;churn up
fashionable,أَنِيق,stylish
foreign,أَجْنَبِيّ,strange;extraneous;alien
gulf,هَوَّة,disconnect;disconnection
mirror,مِرْآة,mirror
natural,طَبِيعِيّ,raw;cancel;instinctive
nowadays,فِي هَذِهِ الْأَيَّام,present;now;today
participant,مُشَارِك,player
ritual,طُقُوس,rite
spoken,مَنْطُوق,mouth;speak;utter
sport,رِيَاضَة,feature;play;sportswoman
surprised,مُتَفَاجِئ,storm;surprise
tense,مُتَوَتِّر,strain;tense up
totally,كُلِّيًّا,all;wholly;completely
vague,غَامِض,dim;wispy;faint
allow,يَسْمَحُ,leave;tolerate;earmark
announce,يُعْلِنُ,foretell;annunciate;denote
beside,بِجَانِب,beside
challenge,تَحَدٍّ,dispute;gainsay;take exception
claim,يَدَّعِي,call;title;exact
condition,حَالَة,check;precondition;term
contribute,يُسَاهِمُ,lend;lead;bestow
difference,اخْتِلَاف,divergence;remainder;departure
divide,يُقَسِّمُ,part;separate;split up
expert,خَبِير,adept;skilful;technical
famous,مَشْهُور,noted;renowned;celebrated
force,قُوَّة,storm;violence;military force
harm,أَذًى,damage;scathe;trauma
lay,يَضَعُ,put;lie down;dwell
peace,سَلَام,ataraxis;peace treaty;pacification
prince,أَمِير,prince
protect,يَحْمِي,protect
sense,يَشْعُرُ,good sense;smell;sentience
sudden,مُفَاجِئ,sudden
therefore,لِذَلِكَ,thence;so;thus
accept,يَقْبَلُ,swallow;admit;take over
arrange,يُرَتِّبُ,put;format;coiffe
attend,يَحْضُرُ,advert;hang;attend to
chase,يُطَارِدُ,track;tag;pursual
contrast,تَبَايُن,dividing line;counterpoint;line
encourage,يُشَجِّعُ,further;boost;advance
familiar,مَأْلُوف,fellow;associate;companion
grab,يَمْسِكُ,snatch;catch;snaffle
hang,يُعَلِّقُ,advert;fall;attend
huge,ضَخْم,vast;Brobdingnagian;immense
necessary,ضَرُورِيّ,requisite;necessity;essential
pattern,نَمَط,model;convention;practice
propose,يَقْتَرِحُ,purport;declare oneself;project
purpose,غَرَض,purport;aim;role
release,يُطْلِقُ,departure;button;secrete
require,يَتَطَلَّبُ,command;demand;postulate
satisfied,رَاضٍ,live up to;gratify;fill
single,وَاحِد,ace;unity;individual
tear,يُمَزِّقُ,shoot;deplumate;pluck
theory,نَظَرِيَّة,hypothesis;possibility
animal,حَيَوَان,beast;sensual;creature
bus,حَافِلَة,bus topology;autobus;charabanc
cat,قِطَّة,Arabian tea;kat;true cat
command,أَمْر,dictation;bid;overtop
depend,يَعْتَمِدُ,reckon;bet;count
dog,كَلْب,dog-iron;blackguard;wienerwurst
door,بَاب,doorway;threshold;room access
friend,صَدِيق,ally;champion;acquaintance
hear,يَسْمَعُ,take heed;try;get word
help,يُسَاعِدُ,service;helper;help oneself
horse,حِصَان,sawbuck;horse cavalry;gymnastic horse
hospital,مُسْتَشْفَى,infirmary
leg,سَاق,branch;ramification;peg
medical,طِبِّيّ,medical examination;medical exam;medical checkup
open,يَفْتَحُ,overt;subject;undefended
pull,يَسْحَبُ,deplume;drag;perpetrate
rabbit,أَرْنَب,hare;coney;lapin
school,مَدْرَسَة,train;educate;civilise
see,يَرَى,ascertain;project;construe
service,خِدْمَة,military service;Service;Robert William Service
benefit,فَائِدَة,gain;do good;welfare
certain,مُتَأَكِّد,sealed;sure
chance,فُرْصَة,prospect;take chances;happen
effect,تَأْثِير,result;force;event
essential,أَسَاسِيّ,requisite;indispensable;necessity
far,بَعِيد,Interahamwe;FAR;ALIR
focus,يُرَكِّزُ,focalise;centering;center
